study,rr,var,rrinter,varinter,variable,management
106,0.173092751,0.003634099,-0.096666684,0.005099074,Yield,Organic fertilizer
106,0.076426067,0.001464975,,,Yield,Organic fertilizer
106,0.173092751,0.003634099,-0.073009293,0.004986082,Yield,Organic fertilizer
106,0.100083458,0.001351983,,,Yield,Organic fertilizer
147,-0.090384061,0.008592715,0.235374371,0.01718543,Yield,Organic fertilizer
147,0.14499031,0.008592715,,,Yield,Organic fertilizer
147,-0.090384061,0.008592715,0.221154292,0.01718543,Yield,Organic fertilizer
147,0.130770231,0.008592715,,,Yield,Organic fertilizer
147,-0.076961041,0.008592715,-0.045641281,0.01718543,Yield,Organic fertilizer
147,-0.122602322,0.008592715,,,Yield,Organic fertilizer
147,-0.076961041,0.008592715,0.036139046,0.01718543,Yield,Organic fertilizer
147,-0.040821995,0.008592715,,,Yield,Organic fertilizer
147,0.087011377,0.008592715,-0.006968669,0.01718543,Yield,Organic fertilizer
147,0.080042708,0.008592715,,,Yield,Organic fertilizer
147,0.087011377,0.008592715,-0.018491431,0.01718543,Yield,Organic fertilizer
147,0.068519946,0.008592715,,,Yield,Organic fertilizer
149,-0.095766905,0.009662001,0.087398655,0.031006936,Yield,Organic fertilizer
149,-0.00836825,0.021344935,,,Yield,Organic fertilizer
149,-0.09531018,0.014102777,0.083475722,0.054642307,Yield,Organic fertilizer
149,-0.011834458,0.04053953,,,Yield,Organic fertilizer
149,-0.127994001,0.004172614,0.030948212,0.009866782,Yield,Organic fertilizer
149,-0.097045789,0.005694168,,,Yield,Organic fertilizer
155,0.061875404,0.002611374,0.057076539,0.003391239,Yield,Organic fertilizer
155,0.118951943,0.000779865,,,Yield,Organic fertilizer
185,0.014561084,0.011456953,0.010738422,0.022913906,Yield,Organic fertilizer
185,0.025299506,0.011456953,,,Yield,Organic fertilizer
72,0.142316222,0.000970549,-0.018263573,0.001704409,Yield,Organic fertilizer
72,0.124052649,0.00073386,,,Yield,Organic fertilizer
106,0.1223702,0.001075374,-0.176154633,0.002573802,SOC,Organic fertilizer
106,-0.053784433,0.001498428,,,SOC,Organic fertilizer
106,0.1223702,0.001075374,-0.020662585,0.001592109,SOC,Organic fertilizer
106,0.101707615,0.000516735,,,SOC,Organic fertilizer
128,0.143811702,0.001454779,-0.167035629,0.002909558,SOC,Organic fertilizer
128,-0.023223927,0.001454779,,,SOC,Organic fertilizer
128,0.083728215,0.001454779,-0.278444297,0.002909558,SOC,Organic fertilizer
128,-0.194716082,0.001454779,,,SOC,Organic fertilizer
128,0.111488947,0.001454779,-0.172265556,0.002909558,SOC,Organic fertilizer
128,-0.060776609,0.001454779,,,SOC,Organic fertilizer
128,0.010664872,0.001454779,-0.071441481,0.002909558,SOC,Organic fertilizer
128,-0.060776609,0.001454779,,,SOC,Organic fertilizer
147,0.065804001,0.003273252,0,0.006546504,SOC,Organic fertilizer
147,0.065804001,0.003273252,,,SOC,Organic fertilizer
147,0.065804001,0.003273252,0,0.006546504,SOC,Organic fertilizer
147,0.065804001,0.003273252,,,SOC,Organic fertilizer
147,0.038779578,0.003273252,0,0.006546504,SOC,Organic fertilizer
147,0.038779578,0.003273252,,,SOC,Organic fertilizer
147,0.038779578,0.003273252,0,0.006546504,SOC,Organic fertilizer
147,0.038779578,0.003273252,,,SOC,Organic fertilizer
147,-0.058403533,0.003273252,0,0.006546504,SOC,Organic fertilizer
147,-0.058403533,0.003273252,,,SOC,Organic fertilizer
147,-0.058403533,0.003273252,0,0.006546504,SOC,Organic fertilizer
147,-0.058403533,0.003273252,,,SOC,Organic fertilizer
147,-0.032599772,0.003273252,0,0.006546504,SOC,Organic fertilizer
147,-0.032599772,0.003273252,,,SOC,Organic fertilizer
147,-0.032599772,0.003273252,0,0.006546504,SOC,Organic fertilizer
147,-0.032599772,0.003273252,,,SOC,Organic fertilizer
147,0.009615459,0.003273252,0,0.006546504,SOC,Organic fertilizer
147,0.009615459,0.003273252,,,SOC,Organic fertilizer
147,0.009615458,0.003273252,0,0.006546504,SOC,Organic fertilizer
147,0.009615458,0.003273252,,,SOC,Organic fertilizer
147,-0.013511252,0.003273252,0,0.006546504,SOC,Organic fertilizer
147,-0.013511252,0.003273252,,,SOC,Organic fertilizer
147,-0.013511252,0.003273252,0,0.006546504,SOC,Organic fertilizer
147,-0.013511252,0.003273252,,,SOC,Organic fertilizer
72,0.167054085,0.004364336,-0.095080585,0.008728672,SOC,Organic fertilizer
72,0.0719735,0.004364336,,,SOC,Organic fertilizer
72,0.15415068,0.004364336,-0.071458964,0.008728672,SOC,Organic fertilizer
72,0.082691716,0.004364336,,,SOC,Organic fertilizer
72,0.050010421,0.004364336,0.038937065,0.008728672,SOC,Organic fertilizer
72,0.088947486,0.004364336,,,SOC,Organic fertilizer
209,0.055721819,0.004364336,-0.111094868,0.008728672,SOC,Organic fertilizer
209,-0.055373049,0.004364336,,,SOC,Organic fertilizer
209,0.055721819,0.004364336,-0.068989618,0.008728672,SOC,Organic fertilizer
209,-0.013267799,0.004364336,,,SOC,Organic fertilizer
209,0.01166842,0.004364336,-0.04668526,0.008728672,SOC,Organic fertilizer
209,-0.03501684,0.004364336,,,SOC,Organic fertilizer
209,0.01166842,0.004364336,-0.026503306,0.008728672,SOC,Organic fertilizer
209,-0.014834886,0.004364336,,,SOC,Organic fertilizer
44,-0.430102412,0.064596939,0.435464355,0.129193878,N2O,Organic fertilizer
44,0.005361943,0.064596939,,,N2O,Organic fertilizer
67,0,0.064596955,0,0.12919391,N2O,Organic fertilizer
67,0,0.064596955,,,N2O,Organic fertilizer
67,0,0.064596955,0,0.12919391,N2O,Organic fertilizer
67,0,0.064596955,,,N2O,Organic fertilizer
67,1.871802178,0.064596938,-2.325820511,0.129193877,N2O,Organic fertilizer
67,-0.454018333,0.064596939,,,N2O,Organic fertilizer
67,1.871802178,0.064596938,-1.680263966,0.129193877,N2O,Organic fertilizer
67,0.191538212,0.064596939,,,N2O,Organic fertilizer
67,-0.530628254,0.064596938,0.59731963,0.129193876,N2O,Organic fertilizer
67,0.066691376,0.064596938,,,N2O,Organic fertilizer
67,-0.530628254,0.064596938,-4.550776129,0.129193885,N2O,Organic fertilizer
67,-5.081404383,0.064596947,,,N2O,Organic fertilizer
67,2.273597555,0.064596938,-4.0122472,0.129193876,N2O,Organic fertilizer
67,-1.738649645,0.064596938,,,N2O,Organic fertilizer
67,2.273597555,0.064596938,0.648026741,0.129193877,N2O,Organic fertilizer
67,2.921624296,0.064596939,,,N2O,Organic fertilizer
67,0.200670695,0.064596939,-0.064026369,0.129193878,N2O,Organic fertilizer
67,0.136644326,0.064596939,,,N2O,Organic fertilizer
67,0.200670695,0.064596939,-1.657032619,0.129193878,N2O,Organic fertilizer
67,-1.456361924,0.064596939,,,N2O,Organic fertilizer
67,-1.79175947,0.064596939,2.128570173,0.129193878,N2O,Organic fertilizer
67,0.336810703,0.064596939,,,N2O,Organic fertilizer
67,-1.79175947,0.064596939,3.248896842,0.129193878,N2O,Organic fertilizer
67,1.457137372,0.064596939,,,N2O,Organic fertilizer
67,2.302585093,0.064596939,-3.834387038,0.129193878,N2O,Organic fertilizer
67,-1.531801945,0.064596939,,,N2O,Organic fertilizer
67,2.302585093,0.064596939,-1.650343411,0.129193878,N2O,Organic fertilizer
67,0.652241682,0.064596939,,,N2O,Organic fertilizer
46,1.163150809,0.064596939,0.21056477,0.129193878,N2O,Organic fertilizer
46,1.373715579,0.064596939,,,N2O,Organic fertilizer
46,1.620487748,0.064596939,-0.018218325,0.129193878,N2O,Organic fertilizer
46,1.602269423,0.064596939,,,N2O,Organic fertilizer
90,0.349375641,0.115203732,-0.64469717,0.158233814,N2O,Organic fertilizer
90,-0.295321529,0.043030082,,,N2O,Organic fertilizer
90,1.086417016,0.092037741,-0.768378481,0.133796585,N2O,Organic fertilizer
90,0.318038535,0.041758844,,,N2O,Organic fertilizer
90,1.210316278,0.114041548,-0.514888595,0.156645751,N2O,Organic fertilizer
90,0.695427683,0.042604203,,,N2O,Organic fertilizer
90,0.349375641,0.115203732,-0.527930715,0.160600564,N2O,Organic fertilizer
90,-0.178555074,0.045396832,,,N2O,Organic fertilizer
90,1.086417016,0.092037741,-0.78468319,0.135611266,N2O,Organic fertilizer
90,0.301733826,0.043573525,,,N2O,Organic fertilizer
90,1.210316278,0.114041548,-0.648008698,0.157380177,N2O,Organic fertilizer
90,0.56230758,0.043338629,,,N2O,Organic fertilizer
147,-0.086292771,0.064596938,-0.141645955,0.129193877,N2O,Organic fertilizer
147,-0.227938726,0.064596939,,,N2O,Organic fertilizer
147,-0.086292771,0.064596938,-0.492495477,0.129193877,N2O,Organic fertilizer
147,-0.578788248,0.064596939,,,N2O,Organic fertilizer
147,-0.430721987,0.064596938,0.039299237,0.129193877,N2O,Organic fertilizer
147,-0.39142275,0.064596939,,,N2O,Organic fertilizer
147,-0.430721987,0.064596938,0.232361367,0.129193877,N2O,Organic fertilizer
147,-0.19836062,0.064596939,,,N2O,Organic fertilizer
149,0.604954468,0.823875325,-0.937893132,3.006050713,N2O,Organic fertilizer
149,-0.332938664,2.182175388,,,N2O,Organic fertilizer
149,0.10880286,0.651795314,-0.088600153,1.065093477,N2O,Organic fertilizer
149,0.020202707,0.413298163,,,N2O,Organic fertilizer
149,0.380359187,0.72090022,-0.277997174,0.956076616,N2O,Organic fertilizer
149,0.102362013,0.235176396,,,N2O,Organic fertilizer
155,0.657640492,0.033361318,0.230998708,0.075549536,N2O,Organic fertilizer
155,0.8886392,0.042188218,,,N2O,Organic fertilizer
167,0.370373789,0.129193877,0.378564751,0.258387754,N2O,Organic fertilizer
167,0.74893854,0.129193877,,,N2O,Organic fertilizer
167,-0.606135804,0.129193878,1.299282985,0.258387756,N2O,Organic fertilizer
167,0.693147181,0.129193878,,,N2O,Organic fertilizer
147,1.84582667,0.092173115,2.00E-08,0.18434624,CH4,Organic fertilizer
147,1.84582669,0.092173125,,,CH4,Organic fertilizer
147,1.84582667,0.092173115,-3.691653376,0.184346242,CH4,Organic fertilizer
147,-1.845826706,0.092173127,,,CH4,Organic fertilizer
149,0.554708016,0.079157961,-0.484724723,0.167399184,CH4,Organic fertilizer
149,0.069983293,0.088241223,,,CH4,Organic fertilizer
149,0.522852025,0.067653756,-0.434987855,0.572310217,CH4,Organic fertilizer
149,0.08786417,0.504656461,,,CH4,Organic fertilizer
149,0.571521661,0.096419143,-1.054373433,1.08826743,CH4,Organic fertilizer
149,-0.482851772,0.991848287,,,CH4,Organic fertilizer
106,-0.017291497,0.000877704,0.006421825,0.005562924,MWD,Organic fertilizer
106,-0.010869672,0.00468522,,,MWD,Organic fertilizer
106,-0.017291497,0.000877704,0.165507441,0.007717332,MWD,Organic fertilizer
106,0.148215944,0.006839628,,,MWD,Organic fertilizer
72,0.203427688,0.010988094,-0.053182814,0.021976188,MWD,Organic fertilizer
72,0.150244874,0.010988094,,,MWD,Organic fertilizer
72,0.121945766,0.010988094,0.09034216,0.021976188,MWD,Organic fertilizer
72,0.212287926,0.010988094,,,MWD,Organic fertilizer
72,0.084652885,0.010988094,0.038308826,0.021976188,MWD,Organic fertilizer
72,0.122961711,0.010988094,,,MWD,Organic fertilizer
72,0.087011377,0.010988094,0.049765335,0.021976188,MWD,Organic fertilizer
72,0.136776712,0.010988094,,,MWD,Organic fertilizer
209,0.045572597,0.010988094,-0.135324119,0.021976188,MWD,Organic fertilizer
209,-0.089751522,0.010988094,,,MWD,Organic fertilizer
209,0.045572597,0.010988094,-0.119464314,0.021976188,MWD,Organic fertilizer
209,-0.073891717,0.010988094,,,MWD,Organic fertilizer
20,-0.245122458,0.008592715,0.245122458,0.01718543,Yield,Conservation tillage
20,0,0.008592715,,,Yield,Conservation tillage
20,-0.090971778,0.008592715,0.090971778,0.01718543,Yield,Conservation tillage
20,0,0.008592715,,,Yield,Conservation tillage
20,0,0.008592715,-0.255933374,0.01718543,Yield,Conservation tillage
20,-0.255933374,0.008592715,,,Yield,Conservation tillage
20,0.231801614,0.008592715,-0.264591437,0.01718543,Yield,Conservation tillage
20,-0.032789823,0.008592715,,,Yield,Conservation tillage
40,-0.330241687,0.011456953,0.345745873,0.022913906,Yield,Conservation tillage
40,0.015504187,0.011456953,,,Yield,Conservation tillage
40,-0.326902786,0.011456953,0.409899705,0.022913906,Yield,Conservation tillage
40,0.08299692,0.011456953,,,Yield,Conservation tillage
69,-0.150935243,0.005728477,0.094521154,0.011456953,Yield,Conservation tillage
69,-0.056414089,0.005728477,,,Yield,Conservation tillage
69,-0.027664281,0.005728477,0.055751863,0.011456953,Yield,Conservation tillage
69,0.028087582,0.005728477,,,Yield,Conservation tillage
69,-0.019583427,0.005728477,0.016080796,0.011456953,Yield,Conservation tillage
69,-0.003502631,0.005728477,,,Yield,Conservation tillage
69,-0.171108692,0.005728477,0.082087841,0.011456953,Yield,Conservation tillage
69,-0.089020851,0.005728477,,,Yield,Conservation tillage
69,-0.010347469,0.005728477,-0.030732557,0.011456953,Yield,Conservation tillage
69,-0.041080026,0.005728477,,,Yield,Conservation tillage
69,0.020906685,0.005728477,-0.23497694,0.011456953,Yield,Conservation tillage
69,-0.214070255,0.005728477,,,Yield,Conservation tillage
69,-0.073938428,0.005728477,0.011074057,0.011456953,Yield,Conservation tillage
69,-0.062864371,0.005728477,,,Yield,Conservation tillage
118,0.294602515,0.021338015,-0.236494884,0.036025006,Yield,Conservation tillage
118,0.058107631,0.01468699,,,Yield,Conservation tillage
127,0.058410762,0.008592715,-0.013515442,0.01718543,Yield,Conservation tillage
127,0.04489532,0.008592715,,,Yield,Conservation tillage
127,0.16907633,0.008592715,-0.085898823,0.01718543,Yield,Conservation tillage
127,0.083177507,0.008592715,,,Yield,Conservation tillage
127,0.194156015,0.008592715,0.068992871,0.01718543,Yield,Conservation tillage
127,0.263148886,0.008592715,,,Yield,Conservation tillage
127,-0.032365285,0.008592715,0.175156003,0.01718543,Yield,Conservation tillage
127,0.142790718,0.008592715,,,Yield,Conservation tillage
127,0.025158559,0.008592715,0.063788927,0.01718543,Yield,Conservation tillage
127,0.088947486,0.008592715,,,Yield,Conservation tillage
127,0.034432196,0.008592715,0.318514877,0.01718543,Yield,Conservation tillage
127,0.352947074,0.008592715,,,Yield,Conservation tillage
127,0.058410762,0.008592715,-0.038208055,0.01718543,Yield,Conservation tillage
127,0.020202707,0.008592715,,,Yield,Conservation tillage
127,0.16907633,0.008592715,-0.068215719,0.01718543,Yield,Conservation tillage
127,0.10086061,0.008592715,,,Yield,Conservation tillage
127,0.194156015,0.008592715,-0.015241616,0.01718543,Yield,Conservation tillage
127,0.178914399,0.008592715,,,Yield,Conservation tillage
127,-0.032365285,0.008592715,0.136215226,0.01718543,Yield,Conservation tillage
127,0.103849941,0.008592715,,,Yield,Conservation tillage
127,0.025158559,0.008592715,0.078691382,0.01718543,Yield,Conservation tillage
127,0.103849941,0.008592715,,,Yield,Conservation tillage
127,0.034432196,0.008592715,0.099570783,0.01718543,Yield,Conservation tillage
127,0.134002979,0.008592715,,,Yield,Conservation tillage
137,-0.392042088,0.008592715,0.296731908,0.01718543,Yield,Conservation tillage
137,-0.09531018,0.008592715,,,Yield,Conservation tillage
137,-0.720546155,0.008592715,0.268561031,0.01718543,Yield,Conservation tillage
137,-0.451985124,0.008592715,,,Yield,Conservation tillage
137,-0.042559614,0.008592715,0.042559614,0.01718543,Yield,Conservation tillage
137,0,0.008592715,,,Yield,Conservation tillage
137,0.040821995,0.008592715,-0.120864702,0.01718543,Yield,Conservation tillage
137,-0.080042708,0.008592715,,,Yield,Conservation tillage
139,0.004728141,0.008592715,0.04819426,0.01718543,Yield,Conservation tillage
139,0.052922401,0.008592715,,,Yield,Conservation tillage
139,-0.019934215,0.008592715,-0.114452976,0.01718543,Yield,Conservation tillage
139,-0.134387191,0.008592715,,,Yield,Conservation tillage
139,-0.010050336,0.008592715,0.080254595,0.01718543,Yield,Conservation tillage
139,0.070204259,0.008592715,,,Yield,Conservation tillage
139,0.040372455,0.008592715,-0.130756517,0.01718543,Yield,Conservation tillage
139,-0.090384061,0.008592715,,,Yield,Conservation tillage
139,-0.209720531,0.008592715,0.167160917,0.01718543,Yield,Conservation tillage
139,-0.042559614,0.008592715,,,Yield,Conservation tillage
139,0.270027137,0.008592715,-0.461449212,0.01718543,Yield,Conservation tillage
139,-0.191422075,0.008592715,,,Yield,Conservation tillage
50,-0.033901552,0.001344402,-0.018284201,0.002708243,Yield,Conservation tillage
50,-0.052185753,0.00136384,,,Yield,Conservation tillage
50,0,0.006377551,0,0.011377551,Yield,Conservation tillage
50,0,0.005,,,Yield,Conservation tillage
50,-0.029413885,0.000340914,0.029413885,0.000660914,Yield,Conservation tillage
50,0,0.00032,,,Yield,Conservation tillage
50,-0.022472856,0.001285647,-0.000516662,0.00298867,Yield,Conservation tillage
50,-0.022989518,0.001703023,,,Yield,Conservation tillage
125,-1.189374005,0.011456953,0.86685798,0.022913906,Yield,Conservation tillage
125,-0.322516025,0.011456953,,,Yield,Conservation tillage
189,-0.016609458,0.004789141,0.195611279,0.010395348,Yield,Conservation tillage
189,0.179001821,0.005606207,,,Yield,Conservation tillage
38,-0.094081099,0.001603887,0.048634253,0.003283169,Yield,Conservation tillage
38,-0.045446847,0.001679282,,,Yield,Conservation tillage
